M,N,K,primitive,gpu,baseline,decomposition,flashoverlap
16384,8192,8192,all_reduce,8,11.2875,10.2468,9.9267
8192,8192,2048,all_reduce,2,2.1407,1.8480,1.8283
8192,8192,2048,reduce_scatter,2,1.7153,1.6392,1.5918
8192,8192,2048,all_reduce,4,2.5211,2.2693,2.1243
8192,8192,2048,reduce_scatter,4,1.9640,1.7316,1.8199
8192,8192,2048,all_reduce,8,2.7320,2.4914,2.3535
8192,8192,2048,reduce_scatter,8,2.0217,1.7813,1.8424
4096,8192,8192,reduce_scatter,2,2.5375,2.4558,2.5000
16384,16384,2048,all_reduce,2,7.9673,6.6143,5.7985
4096,8192,8192,all_reduce,2,2.7297,2.5576,2.5433
4096,8192,4096,all_to_all,2,3.6653,3.3875,3.1851
4096,8192,4096,all_to_all,4,5.2443,5.0130,4.7572
4096,8192,4096,all_to_all,8,6.5650,5.8920,5.4538
8192,8192,4096,all_reduce,2,3.1250,2.8951,2.6578
8192,8192,4096,reduce_scatter,2,2.7627,2.5542,2.5654
8192,8192,4096,all_reduce,4,3.4965,3.0790,3.1414
8192,8192,4096,all_reduce,8,3.6389,3.2026,3.2478
8192,8192,8192,all_reduce,2,5.0960,4.8031,4.7631
16384,8192,8192,all_reduce,8,11.3039,10.2481,9.9379
8192,8192,2048,all_reduce,2,2.1940,1.8532,1.8165
8192,8192,2048,reduce_scatter,2,1.7863,1.6570,1.6344
8192,8192,2048,all_reduce,4,2.5726,2.2598,2.1440
8192,8192,2048,reduce_scatter,4,1.9219,1.7172,1.8269
8192,8192,2048,all_reduce,8,2.7332,2.4855,2.4081
8192,8192,2048,reduce_scatter,8,2.0360,1.8006,1.8369
4096,8192,8192,reduce_scatter,2,2.5016,2.4303,2.5189
16384,16384,2048,all_reduce,2,7.9683,6.6478,5.8821
4096,8192,8192,all_reduce,2,2.7808,2.5869,2.5597
4096,8192,4096,all_to_all,2,3.6154,3.4945,3.2016
16384,8192,8192,reduce_scatter,8,10.1241,9.4139,9.4859
4096,8192,4096,all_to_all,4,5.2645,5.0071,4.7711
4096,8192,4096,all_to_all,8,6.5504,5.8853,5.4576
8192,8192,4096,all_reduce,2,3.0784,2.8860,2.6948
8192,8192,4096,reduce_scatter,2,2.7643,2.6384,2.6191
8192,8192,4096,all_reduce,4,3.5048,3.1080,3.1124
8192,8192,4096,reduce_scatter,4,2.9017,2.7608,2.6634
8192,8192,4096,all_reduce,8,3.6649,3.1975,3.2312
8192,8192,4096,reduce_scatter,8,2.9890,2.8395,2.7499
8192,8192,8192,all_reduce,2,5.0594,4.8487,4.7611
8192,8192,8192,reduce_scatter,2,4.7175,4.6782,4.6559
8192,8192,8192,all_reduce,4,5.4672,5.2075,4.9290
8192,8192,8192,reduce_scatter,4,4.8860,4.7911,4.7579
8192,8192,8192,all_reduce,8,5.6077,5.3149,5.0545
8192,8192,8192,reduce_scatter,8,4.9874,4.8647,4.8362
16384,8192,2048,all_reduce,2,4.1899,3.4177,3.1993
16384,8192,2048,all_reduce,4,4.9007,4.0978,3.7400
16384,8192,2048,all_reduce,8,5.2084,4.5274,4.1536
16384,8192,2048,reduce_scatter,2,3.3541,2.9578,2.8602
16384,8192,2048,reduce_scatter,4,3.6529,3.1041,3.0248
16384,8192,2048,reduce_scatter,8,3.7662,3.2531,3.2722
16384,8192,4096,all_reduce,2,6.0589,5.4361,5.0076
16384,8192,4096,reduce_scatter,2,5.2831,4.9692,4.9486
16384,8192,4096,all_reduce,4,6.7244,5.8784,5.3159
16384,8192,4096,reduce_scatter,4,5.5968,5.1349,5.0454
16384,8192,4096,all_reduce,8,7.0419,6.0419,5.8014
16384,8192,4096,reduce_scatter,8,5.7335,5.3023,5.1774
16384,8192,8192,all_reduce,2,10.2069,9.4732,9.2488
16384,8192,8192,reduce_scatter,2,9.5882,9.0457,9.0787
16384,8192,8192,all_reduce,4,10.9049,9.8871,9.5805
16384,8192,8192,reduce_scatter,4,9.8939,9.2594,9.2712
16384,16384,2048,reduce_scatter,2,6.3373,5.7227,5.3213
16384,16384,2048,all_reduce,4,9.4734,7.9117,6.9574
16384,16384,2048,reduce_scatter,4,6.9848,6.0530,5.5938
16384,16384,2048,all_reduce,8,10.1949,8.5875,7.7377
16384,16384,2048,reduce_scatter,8,7.2831,6.1984,5.9913
16384,16384,4096,all_reduce,2,11.8151,10.6226,9.7402
16384,16384,4096,reduce_scatter,2,10.3930,9.7390,9.5420
16384,16384,4096,all_reduce,4,13.1867,11.4308,10.1564
16384,16384,4096,reduce_scatter,4,10.9266,10.1506,9.7911
16384,16384,4096,all_reduce,8,13.8909,11.7477,10.5819
16384,16384,4096,reduce_scatter,8,11.1732,10.2667,9.8782
16384,16384,8192,all_reduce,2,20.3868,18.8107,18.2407
16384,16384,8192,reduce_scatter,2,19.8293,17.9489,17.9347
16384,16384,8192,all_reduce,4,22.1003,19.7516,18.7587
16384,16384,8192,reduce_scatter,4,20.2104,18.4618,18.3974
16384,16384,8192,all_reduce,8,22.9982,20.1722,19.1768
16384,16384,8192,reduce_scatter,8,20.5892,18.7183,18.6331
4096,8192,8192,all_to_all,2,6.4082,6.4118,6.1364
4096,8192,8192,all_to_all,4,9.7458,9.2446,9.1306
4096,8192,8192,all_to_all,8,11.5148,10.6451,10.4495
8192,8192,4096,all_to_all,2,7.5064,7.2934,7.0344
8192,8192,4096,all_to_all,4,9.5336,8.7941,8.5244
8192,8192,4096,all_to_all,8,12.0197,10.7621,10.1693
8192,8192,8192,all_to_all,2,14.4232,13.9369,13.5619
8192,8192,8192,all_to_all,4,17.8548,16.7693,16.4944
8192,8192,8192,all_to_all,8,21.2970,20.1176,19.4939
8192,16384,4096,all_to_all,2,15.1431,14.4230,14.0532
8192,16384,4096,all_to_all,4,19.2353,17.8988,17.0058
8192,16384,4096,all_to_all,8,23.3360,21.5780,20.1593
8192,16384,8192,all_to_all,2,29.5749,28.3017,27.2390
8192,16384,8192,all_to_all,4,36.9648,35.2950,33.4195
8192,16384,8192,all_to_all,8,43.7092,41.2569,39.1881
